# Desired CR, Actual CR, SR, L2, Linf, circ_error
1.000000000000000021e-03 1.102500000000000008e-02 9.523809523809523725e+00 4.674295695349248159e-01 5.611693340053857115e-01 -6.661338147750939243e-15
1.000000000000000021e-02 1.102500000000000008e-02 9.523809523809523725e+00 4.674295695349248159e-01 5.611693340053857115e-01 -6.661338147750939243e-15
1.000000000000000056e-01 1.087999999999999939e-01 3.031695312954162169e+00 7.436317345685579394e-02 1.029545890812480491e-01 -1.154631945610162802e-14
2.000000000000000111e-01 2.114999999999999936e-01 2.174426910178140382e+00 3.447064679741262960e-02 4.701071798073847008e-02 -1.088018564132653410e-14
2.999999999999999889e-01 3.080249999999999932e-01 1.801801801801801606e+00 2.048041912160530539e-02 3.135966338542011539e-02 -1.454392162258955068e-14
4.000000000000000222e-01 4.096000000000000196e-01 1.562500000000000000e+00 1.325761355438433500e-02 1.905345180229394558e-02 -1.132427485117659671e-14
5.000000000000000000e-01 5.040999999999999925e-01 1.408450704225352235e+00 8.894889839718660499e-03 1.295208842267492159e-02 1.110223024625156540e-15
5.999999999999999778e-01 6.084000000000000519e-01 1.282051282051281937e+00 6.212730493729152689e-03 1.199374328197381177e-02 -1.953992523340275511e-14
6.999999999999999556e-01 7.139250000000000318e-01 1.183514831852729099e+00 5.541812523830100083e-03 1.206453839996964213e-02 -7.549516567451064475e-15
8.000000000000000444e-01 8.010249999999999870e-01 1.117318435754189876e+00 3.618508938748921794e-03 7.610322331149043176e-03 -1.132427485117659671e-14
9.000000000000000222e-01 9.024999999999999689e-01 1.052631578947368363e+00 1.439252515351159773e-03 4.348226584839229303e-03 -2.553512956637860043e-14
9.499999999999999556e-01 9.604000000000000314e-01 1.020408163265306145e+00 7.077933803748502877e-04 1.802502860298862411e-03 -1.687538997430237941e-14
9.899999999999999911e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.949334006976979482e-04 3.641396224881510634e-04 4.440892098500626162e-15
9.989999999999999991e-01 1.010024999999999951e+00 9.950248756218906809e-01 6.224785634432344374e-05 8.829187019507514912e-05 -5.773159728050814010e-15
