Time,NoBlobs,Evolution_time,Circulation
0.02,2382,0.9099414909996995,1.0000000002072027
0.04,2488,0.09097285699954227,0.9999999996152136
0.06,2628,0.08821378299944627,0.9999999994594816
0.08,2850,0.1331461549998494,0.9999999984726822
0.1,3074,0.1383267639994301,0.9999999977786712
0.12,3301,0.13445075200070278,0.9999999976216687
0.14,3529,0.1547014930001751,1.0000000003123957
0.16,3743,0.15998364499955642,1.0000000011275498
0.18,3953,0.13298956000016915,1.0000000001255454
0.2,4194,0.1750422350005465,1.0000000000356615
0.22,4478,0.16479840200008766,1.0000000027406797
0.24,4681,0.14371173099971202,1.0000000027674687
0.26,4917,0.1616359409999859,1.0000000025633966
0.28,5141,0.19941572500010807,1.0000000033772125
0.3,5322,0.1922715179998704,1.0000000032842415
0.32,5498,0.20359568200001377,1.0000000025260378
0.34,5644,0.2056323449996853,1.0000000007329328
0.36,5753,0.23447500999918702,1.0000000002042342
0.38,5861,0.2325633669997842,1.0000000015937334
0.4,5937,0.27085342800000944,1.0000000000890363
0.42,6009,0.2914499030002844,1.0000000017230242
0.44,6092,0.2706871880000108,1.0000000022908244
0.46,6174,0.2553050169999551,1.0000000026862446
0.48,6245,0.30840747599995666,1.0000000035523773
0.5,6324,0.329712906000168,1.0000000029721952
0.52,6390,0.2913442649996796,1.0000000035040622
0.54,6457,0.2655911780002498,1.0000000035367023
0.56,6537,0.31457073599995056,1.0000000026319358
0.58,6619,0.34650820499973634,1.0000000023378322
0.6,6684,0.35123625500000344,1.0000000037549526
0.62,6750,0.3577955999999176,1.0000000027855025
0.64,6813,0.34943812300025456,1.0000000041969574
0.66,6875,0.3679329050000888,1.0000000034718717
0.68,6942,0.33984804400006396,1.0000000032057033
0.7000000000000001,7021,0.3558533300001727,1.0000000810877863
0.72,7092,0.33619760500005214,1.0000000816699237
0.74,7163,0.37167296999996324,1.000000080484792
0.76,7216,0.35025872900041577,1.00000007970256
0.78,7283,0.3961841299997104,1.000000080458089
0.8,7345,0.36276556799930404,1.0000000794482338
0.8200000000000001,7402,0.3762626289999389,1.0000000793619597
0.84,7463,0.38731757200002903,1.0000000802558529
0.86,7517,0.4048047830001451,1.0000000799791775
0.88,7587,0.3945202690001679,1.000000077329638
0.9,7661,0.4055732659999194,1.000000077376808
0.92,7713,0.3937061240003459,1.000000078633415
0.9400000000000001,7780,0.4176017960007812,1.0000000777088067
0.96,7851,0.3914252550002857,1.000000077836451
0.98,7920,0.4203503159997126,1.0000000780866805
1.0,7964,0.4511352400004398,1.000000078850511
1.02,8017,0.41379689399946074,1.0000000808215976
1.04,8074,0.41083083400008036,1.0000000817832262
1.06,8131,0.4320895400005611,1.000000082205987
1.08,8183,0.42180364099931467,1.0000000841520196
1.1,8230,0.4398749850006425,1.0000000826392286
1.12,8316,0.4897798980000516,1.0000000824262307
1.1400000000000001,8367,0.45228486800078826,1.0000000838809382
1.16,8412,0.4510002209999584,1.0000000855174738
1.18,8459,0.48414230100024724,1.0000000845452353
1.2,8512,0.49224648800009163,1.0000000855124067
1.22,8561,0.44926423600009,1.0000000855226574
1.24,8626,0.4834083420000752,1.0000000855481532
1.26,8675,0.4893467199999577,1.00000008587968
1.28,8721,0.4919071360000089,1.0000000855691562
1.3,8773,0.5218820469999628,1.000000084566793
