Time,NoBlobs,Evolution_time,Circulation
0.02,3177,0.5217854050006281,1.0000000002071998
0.04,3175,0.08049450799990154,0.9999999991399424
0.06,3175,0.08032420899871795,1.0000000002288134
0.08,3175,0.07960640999954194,1.0000000017839257
0.1,3169,0.10609327999918605,1.0000000044201616
0.12,3169,0.08008410900038143,1.0000000037227985
0.14,3169,0.06913022099979571,1.0000000059529859
0.16,3165,0.06825112200021977,1.000000004729365
0.18,3183,0.07163641800070764,1.0000000043613335
0.2,3081,0.8399096430002828,0.999999999848104
0.22,3083,0.10066878600082418,0.9999999992031623
0.24,3088,0.09968828700039012,0.9999999976574534
0.26,3092,0.09273789500002749,0.9999999956942396
0.28,3103,0.0856955029994424,0.9999999947511392
0.3,3117,0.07439561499995762,0.9999999970933184
0.32,3128,0.07575481399908313,0.9999999978187024
0.34,3139,0.07208791800076142,0.9997704223717436
0.36,3154,0.0709496189992933,0.9997704222523125
0.38,3163,0.07316691699998046,0.999770424200216
0.4,3080,0.4918771390002803,0.9997704311134092
0.42,3081,0.09030829699986498,0.9997704286093116
0.44,3107,0.08857909899961669,0.9997704292586592
0.46,3129,0.08385930499935057,0.9997704276065054
0.48,3149,0.08184500600145839,0.9997704281538191
0.5,3163,0.07665921299849288,0.9997704257615903
0.52,3177,0.07669931199961866,0.9997704266216659
0.54,3192,0.07416771499993047,0.9997704279153525
0.56,3194,0.07200281800032826,0.9997704258796363
0.58,3188,0.07232961800036719,0.999770425071459
0.6,3070,0.45868077799968887,0.9997704260809812
0.62,3101,0.08672630100045353,0.9997704298170638
0.64,3114,0.08820789899982628,0.9997704272576269
0.66,3136,0.08527440299985756,0.9997704271143768
0.68,3155,0.08173000699935073,0.9997704272378436
0.7000000000000001,3171,0.07628001400007633,0.999770431299744
0.72,3186,0.074192915999447,0.9997704306988517
0.74,3198,0.08157610700072837,0.9997704306837318
0.76,3213,0.06933452100020077,0.9997704314606659
0.78,3221,0.08464810300029058,0.9997704320421021
0.8,3112,0.5035053299998253,0.9997704271232721
0.8200000000000001,3112,0.09050940300039656,0.9997704295411338
0.84,3144,0.10260979000122461,0.9997704290876124
0.86,3167,0.08683780699902854,0.9997704268065687
0.88,3178,0.08851950499956729,0.999770428880564
0.9,3192,0.08470731000124943,0.9997704284010273
0.92,3198,0.0787270159999025,0.9997704285668529
0.9400000000000001,3206,0.07348472199919343,0.9997704284884013
0.96,3214,0.08414370999889798,0.9997704300151811
0.98,3225,0.08569230799912475,0.9997704328023292
1.0,3114,0.5047319580007752,0.9997704329798683
1.02,3114,0.20100298400029715,0.9997704372899507
1.04,3115,0.09025500300049316,0.9997704346457064
1.06,3152,0.0827896110004076,0.9997704326115606
1.08,3161,0.08298761100013508,0.9997704331384435
1.1,3169,0.0763824179994117,0.9997704333026608
1.12,3183,0.07638481800131558,0.9997704341023068
1.1400000000000001,3195,0.07282332100112399,0.9997704343740361
