# Desired CR, Actual CR, SR, L2, Linf, circ_error
1.000000000000000021e-03 1.102500000000000008e-02 9.523809523809523725e+00 4.621766634466931700e-01 5.552936904209166968e-01 5.117263064402521877e-07
1.000000000000000021e-02 1.102500000000000008e-02 9.523809523809523725e+00 4.621766634466931700e-01 5.552936904209166968e-01 5.117263064402521877e-07
1.000000000000000056e-01 1.087999999999999939e-01 3.031695312954162169e+00 8.128802099397024195e-02 1.117022613438825029e-01 -4.127280073262795668e-09
2.000000000000000111e-01 2.114999999999999936e-01 2.174426910178140382e+00 4.246155815121793742e-02 5.915499653817502673e-02 -5.000018066247946535e-09
2.999999999999999889e-01 3.080249999999999932e-01 1.801801801801801606e+00 2.873734734627993170e-02 4.022993600938886555e-02 -5.000014846601175122e-09
4.000000000000000222e-01 4.096000000000000196e-01 1.562500000000000000e+00 2.171802070907098356e-02 3.047898137707413108e-02 -5.000011515932101247e-09
5.000000000000000000e-01 5.040999999999999925e-01 1.408450704225352235e+00 1.745464924737595222e-02 2.453272884290263328e-02 -4.999999192456527908e-09
5.999999999999999778e-01 6.084000000000000519e-01 1.282051282051281937e+00 1.459047796035622437e-02 2.052787124563873813e-02 -5.000019620560181011e-09
6.999999999999999556e-01 7.139250000000000318e-01 1.183514831852729099e+00 1.253379071851999649e-02 1.764710191788576230e-02 -5.000007408106910134e-09
8.000000000000000444e-01 8.010249999999999870e-01 1.117318435754189876e+00 1.098529780879514001e-02 1.547535954484052616e-02 -5.000017955225644073e-09
9.000000000000000222e-01 9.024999999999999689e-01 1.052631578947368363e+00 9.777347230661804361e-03 1.377952280593233887e-02 -4.127293840028301020e-09
9.499999999999999556e-01 9.604000000000000314e-01 1.020408163265306145e+00 9.267799295371362961e-03 1.306375793473707990e-02 4.231418992972635351e-09
9.899999999999999911e-01 1.000000000000000000e+00 1.000000000000000000e+00 8.896872388530109241e-03 1.254254912741959750e-02 8.256616723656406975e-09
9.989999999999999991e-01 1.010024999999999951e+00 9.950248756218906809e-01 8.817488372673496291e-03 1.243101178587037101e-02 -1.704374064104285935e-08
